method,run,objective,tour_length,selected_costs,evaluations,improvements,final_selected,seed,duration_s
Operator1,111,69803,100,47798,0,0,40;165;90;81;196;145;78;31;56;113;175;171;16;25;44;120;82;92;57;129;2;152;97;1;101;75;86;26;100;121;124;94;63;53;180;154;135;70;127;123;162;151;133;79;80;176;51;118;59;65;116;43;42;181;160;184;84;112;4;190;10;177;54;48;34;146;22;18;108;69;159;193;41;139;115;46;68;140;93;117;0;143;183;89;23;137;186;15;148;9;62;102;144;14;49;178;106;52;55;185,0,3.144
Operator1,151,69936,100,48128,0,0,116;65;149;131;184;84;112;4;190;10;177;54;48;160;34;181;146;22;18;108;140;93;117;0;143;183;89;23;137;176;80;79;63;94;148;9;62;144;14;49;3;178;106;52;55;185;40;119;165;90;81;196;179;57;145;78;31;56;113;175;171;16;25;44;120;82;92;129;2;152;97;1;101;75;86;26;100;53;158;180;154;135;70;127;123;162;133;151;51;118;59;115;46;68;139;41;193;159;42;43,0,3.021
Operator1,161,69745,100,48452,0,0,162;123;127;70;135;154;180;53;100;26;86;75;101;1;97;152;2;129;57;92;82;120;44;25;16;171;175;113;56;31;78;145;179;196;81;90;165;119;40;185;55;52;106;178;3;14;144;49;102;62;9;148;124;94;63;79;80;176;137;23;186;89;183;143;0;117;93;140;68;46;115;139;41;193;159;69;108;18;22;146;195;181;34;160;48;54;177;10;190;184;42;43;116;65;149;59;118;51;151;133,0,3.072
Operator1,141,70145,100,47528,0,0,131;149;65;116;59;118;51;151;133;162;123;127;70;135;154;180;53;121;100;26;86;75;101;1;97;152;2;129;120;44;25;16;171;175;113;56;31;78;145;196;81;90;40;185;179;92;57;55;52;178;106;165;14;144;49;102;62;9;148;124;94;63;79;80;176;137;23;186;89;183;143;0;117;93;108;18;22;146;159;193;41;139;68;46;115;43;42;181;34;160;184;48;54;177;10;190;4;112;84;35,0,2.944
Operator1,161,69809,100,48211,0,0,149;131;65;116;43;42;181;34;160;184;54;177;4;112;123;127;70;135;154;180;53;100;26;86;75;101;1;97;152;2;120;44;25;16;171;175;113;56;31;78;145;92;129;57;179;196;81;90;165;119;40;185;55;52;106;178;3;138;14;144;49;102;62;9;148;124;94;63;79;80;176;137;23;186;89;183;143;0;117;93;140;108;69;18;22;146;195;159;193;41;139;68;46;115;59;118;51;151;133;162,0,2.991
Operator1,161,69917,100,47630,0,0,120;44;25;16;171;175;113;56;31;145;179;196;81;90;165;40;185;55;52;106;178;49;14;144;102;62;9;148;167;124;94;63;79;133;80;176;137;23;89;183;143;0;117;93;140;108;18;22;146;159;193;41;139;68;46;115;5;42;181;34;160;48;54;177;10;4;112;84;35;184;43;116;65;131;149;59;118;51;151;162;123;127;70;135;154;180;53;100;26;86;75;101;1;97;152;2;129;57;92;78,0,3.060
Operator1,151,69921,100,47904,0,0,92;57;55;52;106;178;3;185;119;40;196;81;90;165;14;144;49;102;62;9;148;124;94;63;79;133;80;176;137;23;186;89;183;143;0;117;68;46;115;139;69;108;18;22;146;159;193;41;42;181;34;160;48;54;177;10;190;4;112;84;184;43;116;65;149;59;118;51;151;162;123;127;70;135;154;180;53;121;100;26;86;75;101;1;97;152;2;129;120;44;25;16;171;175;113;56;31;78;145;179,0,3.106
Operator1,161,69880,100,48223,0,0,35;131;149;65;116;43;42;59;118;51;151;133;162;123;127;70;135;154;180;53;121;100;26;86;75;101;1;97;152;2;129;57;92;82;120;44;25;16;171;175;113;56;31;78;145;179;196;81;90;165;119;40;185;55;52;106;178;49;14;144;62;9;148;124;94;63;79;80;176;137;23;186;89;183;143;0;117;68;46;115;139;41;193;159;69;108;18;22;146;34;160;184;48;54;177;10;190;4;112;84,0,2.983
Operator1,151,69620,100,48007,0,0,0;143;183;89;186;23;137;176;80;79;63;94;124;148;9;62;144;14;49;3;178;106;52;55;185;40;119;165;90;81;196;31;113;175;171;16;78;145;179;57;92;129;25;44;120;2;152;97;1;101;75;86;26;100;53;180;154;135;70;127;123;162;133;151;51;118;59;149;131;47;65;116;43;42;184;35;84;112;4;190;10;177;54;48;160;34;181;146;22;18;108;69;159;193;41;139;115;46;68;117,0,3.020
Operator1,161,69878,100,48127,0,0,102;144;62;9;148;124;94;63;79;80;176;137;23;186;89;183;143;0;117;68;46;139;115;5;42;41;193;159;69;108;18;22;146;181;34;160;48;54;177;10;190;4;112;84;184;43;116;65;59;118;51;151;133;162;123;127;70;135;154;180;53;121;100;26;97;152;1;101;86;75;2;120;44;25;78;16;171;175;113;56;31;196;81;90;165;40;185;179;145;92;129;57;55;52;106;178;3;138;14;49,0,2.984
Operator1,141,70013,100,48394,0,0,180;154;135;70;127;123;149;131;65;116;43;184;190;10;177;54;48;160;34;146;22;195;181;42;5;115;46;68;139;41;193;159;18;108;140;93;117;0;143;183;89;186;23;137;176;80;51;118;59;162;151;133;79;63;94;124;148;9;62;144;102;49;14;138;3;178;106;52;55;57;129;92;78;145;179;185;40;119;165;90;81;196;31;113;175;171;16;25;44;120;2;152;97;1;101;75;86;26;100;53,0,2.982
Operator1,131,69938,100,48096,0,0,40;185;179;145;78;92;57;55;52;106;178;14;144;49;102;62;9;148;124;94;63;122;79;133;151;162;59;118;51;80;176;137;23;186;89;183;143;0;117;68;46;115;139;41;193;159;108;18;22;146;181;34;160;48;54;177;10;190;4;112;84;184;42;43;116;65;149;123;127;70;135;154;180;53;121;100;26;86;75;101;1;97;152;2;129;82;120;44;25;16;171;175;113;56;31;157;196;81;90;165,0,3.191
Operator1,151,69857,100,47738,0,0,185;106;178;52;55;57;129;92;179;145;78;31;56;113;175;171;16;25;44;120;2;152;97;1;101;75;86;26;100;121;53;180;154;135;70;127;123;112;4;190;10;177;54;48;184;160;34;181;146;22;18;69;108;140;93;117;0;143;183;89;186;23;137;176;80;51;118;59;115;46;68;139;41;193;159;42;43;116;65;149;162;151;133;79;63;94;148;9;62;102;49;144;14;138;165;90;81;196;40;119,0,2.958
Operator1,161,69895,100,47669,0,0,49;178;106;52;55;185;40;165;90;81;196;179;57;129;92;145;78;31;113;175;171;16;25;44;120;2;152;97;1;101;75;86;26;100;121;53;158;180;154;70;135;162;133;151;51;118;59;65;116;43;149;123;127;112;4;84;184;190;10;177;54;48;160;34;181;42;5;115;46;68;139;41;193;159;146;22;18;108;140;93;117;0;143;183;89;186;23;137;176;80;79;63;94;124;148;9;62;144;14;102,0,3.079
Operator1,161,69774,100,47732,0,0,112;84;184;131;149;65;116;43;42;181;193;41;139;68;46;115;59;118;51;176;80;94;63;79;133;151;162;123;127;70;135;154;180;53;100;26;86;75;101;1;97;152;2;120;44;25;16;171;175;113;56;31;78;145;179;92;129;57;55;52;196;81;90;165;119;40;185;106;178;3;49;14;144;102;62;9;148;137;23;186;89;183;143;0;117;93;140;108;18;159;22;146;34;160;48;54;30;177;10;4,0,3.054
Operator1,161,69762,100,47679,0,0,115;139;41;193;159;69;108;18;22;146;181;34;160;48;54;177;10;190;4;112;184;43;42;5;116;65;131;149;59;118;51;151;133;162;123;127;70;135;154;180;53;100;26;86;75;101;1;97;152;2;129;120;44;25;16;171;175;113;56;31;78;145;179;92;57;55;52;178;106;185;40;196;81;90;165;138;14;49;102;144;62;9;148;94;63;79;80;176;137;23;186;89;183;143;0;117;93;140;68;46,0,3.066
Operator1,151,69896,100,47813,0,0,185;40;119;165;90;81;196;57;129;92;145;78;31;56;113;175;171;16;25;44;120;2;152;97;1;101;75;86;26;100;53;180;154;135;70;127;123;149;131;184;84;112;4;10;177;54;48;160;34;146;22;18;69;108;140;93;117;0;143;183;89;186;23;137;176;80;51;118;59;115;46;68;139;41;193;159;181;42;43;116;65;162;151;133;79;63;94;124;148;9;62;102;49;144;14;3;178;106;52;55,0,3.049
Operator1,151,69917,100,48430,0,0,68;117;0;143;183;89;186;23;137;176;80;79;63;94;124;148;9;62;102;144;14;49;3;178;106;52;185;40;165;90;81;196;31;56;113;175;171;16;78;145;179;55;57;92;129;82;25;44;120;2;152;97;1;101;75;86;26;100;53;180;154;135;70;127;123;162;133;151;51;118;59;65;116;43;42;184;84;112;4;190;10;177;54;48;160;34;181;195;146;22;18;108;69;159;193;41;139;115;198;46,0,3.005
Operator1,161,69636,100,47675,0,0,4;112;84;35;184;42;43;116;65;131;149;123;127;70;135;154;180;53;121;100;26;86;75;101;1;97;152;2;120;44;25;16;171;175;113;56;31;78;145;92;129;57;179;196;81;90;165;40;185;55;52;106;178;3;49;14;144;102;62;9;148;124;94;63;79;133;151;162;59;118;51;80;176;137;23;186;89;183;143;0;117;93;68;46;115;139;41;193;159;108;18;22;146;181;34;160;54;177;10;190,0,2.986
Operator1,171,69719,100,47954,0,0,159;193;41;139;115;46;68;140;93;117;0;143;183;89;23;137;148;9;62;102;144;14;49;3;178;106;52;55;57;129;92;78;145;179;185;40;165;90;81;196;31;56;113;175;171;16;25;44;120;2;152;97;1;101;75;86;26;100;121;53;180;154;135;70;127;123;162;151;133;79;63;94;80;176;51;118;59;149;131;65;116;43;42;184;84;112;4;190;10;177;54;48;160;34;181;195;146;22;18;108,0,3.095
